ano,data,descricao,dia_da_semana
2043,2043-12-25,Natal,sexta-feira
2044,2044-01-01,Confraternização Universal,sexta-feira
2044,2044-02-29,Carnaval,segunda-feira
2044,2044-03-01,Carnaval,terça-feira
2044,2044-04-15,Paixão de Cristo,sexta-feira
2044,2044-04-21,Tiradentes,quinta-feira
2044,2044-05-01,Dia do Trabalho,domingo
2044,2044-06-16,Corpus Christi,quinta-feira
2044,2044-09-07,Independência do Brasil,quarta-feira
2044,2044-11-02,Finados,quarta-feira
2044,2044-11-15,Proclamação da República,terça-feira
2044,2044-11-20,Dia Nacional de Zumbi e da Consciência Negra,domingo
2044,2044-12-25,Natal,domingo
2045,2045-01-01,Confraternização Universal,domingo
2045,2045-02-20,Carnaval,segunda-feira
2045,2045-02-21,Carnaval,terça-feira
2045,2045-04-07,Paixão de Cristo,sexta-feira
2045,2045-04-21,Tiradentes,sexta-feira
2045,2045-05-01,Dia do Trabalho,segunda-feira
2045,2045-06-08,Corpus Christi,quinta-feira
2045,2045-09-07,Independência do Brasil,quinta-feira
2045,2045-11-02,Finados,quinta-feira
2045,2045-11-15,Proclamação da República,quarta-feira
2045,2045-11-20,Dia Nacional de Zumbi e da Consciência Negra,segunda-feira
2045,2045-12-25,Natal,segunda-feira
2046,2046-01-01,Confraternização Universal,segunda-feira
2046,2046-02-05,Carnaval,segunda-feira
2046,2046-02-06,Carnaval,terça-feira
2046,2046-03-23,Paixão de Cristo,sexta-feira
2046,2046-04-21,Tiradentes,sábado
2046,2046-05-01,Dia do Trabalho,terça-feira
2046,2046-05-24,Corpus Christi,quinta-feira
2046,2046-09-07,Independência do Brasil,sexta-feira
2046,2046-11-02,Finados,sexta-feira
2046,2046-11-15,Proclamação da República,quinta-feira
2046,2046-11-20,Dia Nacional de Zumbi e da Consciência Negra,terça-feira
2046,2046-12-25,Natal,terça-feira
2047,2047-01-01,Confraternização Universal,terça-feira
2047,2047-02-25,Carnaval,segunda-feira
2047,2047-02-26,Carnaval,terça-feira
2047,2047-04-12,Paixão de Cristo,sexta-feira
2047,2047-04-21,Tiradentes,domingo
2047,2047-05-01,Dia do Trabalho,quarta-feira
2047,2047-06-13,Corpus Christi,quinta-feira
2047,2047-09-07,Independência do Brasil,sábado
2047,2047-11-02,Finados,sábado
2047,2047-11-15,Proclamação da República,sexta-feira
2047,2047-11-20,Dia Nacional de Zumbi e da Consciência Negra,quarta-feira
2047,2047-12-25,Natal,quarta-feira
2048,2048-01-01,Confraternização Universal,quarta-feira
2048,2048-02-17,Carnaval,segunda-feira
2048,2048-02-18,Carnaval,terça-feira
2048,2048-04-03,Paixão de Cristo,sexta-feira
2048,2048-04-21,Tiradentes,terça-feira
2048,2048-05-01,Dia do Trabalho,sexta-feira
2048,2048-06-04,Corpus Christi,quinta-feira
2048,2048-09-07,Independência do Brasil,segunda-feira
2048,2048-11-02,Finados,segunda-feira
2048,2048-11-15,Proclamação da República,domingo
2048,2048-11-20,Dia Nacional de Zumbi e da Consciência Negra,sexta-feira
2048,2048-12-25,Natal,sexta-feira
2049,2049-01-01,Confraternização Universal,sexta-feira
2049,2049-03-01,Carnaval,segunda-feira
2049,2049-03-02,Carnaval,terça-feira
2049,2049-04-16,Paixão de Cristo,sexta-feira
2049,2049-04-21,Tiradentes,quarta-feira
2049,2049-05-01,Dia do Trabalho,sábado
2049,2049-06-17,Corpus Christi,quinta-feira
2049,2049-09-07,Independência do Brasil,terça-feira
2049,2049-11-02,Finados,terça-feira
2049,2049-11-15,Proclamação da República,segunda-feira
2049,2049-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2049,2049-12-25,Natal,sábado
2050,2050-01-01,Confraternização Universal,sábado
2050,2050-02-21,Carnaval,segunda-feira
2050,2050-02-22,Carnaval,terça-feira
2050,2050-04-08,Paixão de Cristo,sexta-feira
2050,2050-04-21,Tiradentes,quinta-feira
2050,2050-05-01,Dia do Trabalho,domingo
2050,2050-06-09,Corpus Christi,quinta-feira
